Trade Date,Instrument Code,Quantity,Price,Transaction Type,Comments
2020-04-09,TSLA,0.72526675,565.13,BUY,"orderNo: HDJQ007811, orderID: HD.816ae6f9-7125-4855-a73e-8c1475b7248e"
2020-04-16,TTWO,4,123.80,BUY,"orderNo: HDNZ015766, orderID: HD.cbf39e15-bb7a-41a7-a404-e28985a1ab4d"
2020-04-20,GOOGL,0.55476743,1261.79,BUY,"orderNo: HDTH018821, orderID: HD.4467b917-6108-44e9-9883-6420f383861c"
2020-04-27,TSLA,0.72526675,781.62,SELL,"orderNo: HDAR026601, orderID: HD.d1ec3a54-b22a-437c-ade6-6325039d0736"
2020-05-05,DIS,2,101.00,BUY,"orderNo: HEVA003414, orderID: HE.b71609e3-c097-4a2d-b418-417e1d7a7af7"
2020-05-14,DIS,2,104.50,SELL,"orderNo: HEKH012963, orderID: HE.b6240d7b-8212-413d-98d8-3c6ef2b27cbb"
2020-06-11,SPCE,13,15.18,BUY,"orderNo: HFGH019090, orderID: HF.00feb588-b4d0-4e1b-9bd1-b1ef2be5faa2"
2021-01-28,GOOGL,0.55476743,1831.00,SELL,"orderNo: IAUM059620, orderID: IA.3c648209-e075-4c09-9bab-23c84751b8bd"
2021-01-28,SPCE,23.1231967,43.67,BUY,"orderNo: IAVU068198, orderID: IA.f98662bb-2156-4433-85c3-7d97b4ec50ac"
2021-01-29,TTWO,4,198.79,SELL,"orderNo: IAFP069090, orderID: IA.e95ada77-4eee-4225-a3f8-8f79e6bb6964"
2021-01-29,SVXY,21.50299727,36.70,BUY,"orderNo: IAZM069283, orderID: IA.7ea5dc7b-9d6a-4412-92a1-094899ad2209"
2021-02-03,SVXY,21.50299727,39.45,SELL,"orderNo: IBPU016127, orderID: IB.04175f16-cafd-40e0-bee0-28433dcd5574"
2021-02-05,ARKK,5.65181507,149.03,BUY,"orderNo: IBPK024716, orderID: IB.9b77c9d2-c220-4053-9e5c-e6348eb43de7"
